coords,ground x,ground y,likelihood,endpoint x,endpoint y,likelihood,hMax x,hMax y,likelihood,vMax x,vMax y,likelihood
172,215.4503767,545.2713397,0.371148288,919.3477141,1076.915049,0.687981248,215.2250441,548.1939614,0.241227597,213.6628306,541.714798,0.247648418
173,1014.062599,570.5909438,0.674842596,916.0682862,1077.825903,0.688210607,221.7995076,552.2171197,0.871862888,918.7244298,1524.166201,0.882996082
174,1014.095286,570.0867319,0.67583853,916.2641014,1077.530399,0.705689073,221.7374773,552.0298843,0.852878451,918.9266338,1523.961912,0.877848566
175,215.0423251,545.0915514,0.37534228,918.9717419,1076.768665,0.692139626,214.8770323,568.1822628,0.245163172,213.7623601,541.6187458,0.243777305
176,1014.078147,570.0891252,0.673038602,915.9399002,1077.183818,0.70411694,221.71487,552.1494884,0.855074584,918.7795107,1524.199591,0.880542338
177,1014.185616,570.0345778,0.674114466,915.3093889,1077.452728,0.696386933,221.790966,552.1592951,0.855922937,918.9377887,1523.980757,0.873654366
178,215.068543,545.0665624,0.370279551,918.564437,1076.938332,0.697606742,214.9227313,568.1894999,0.243871778,213.7181207,541.641252,0.244544357
179,1014.148821,570.4102116,0.670951724,916.2019962,1077.307235,0.69833684,221.6817417,552.2982779,0.859437227,918.668566,1524.259097,0.880429626
180,1014.201424,570.6947002,0.669202268,915.7838225,1077.376663,0.703357041,221.7149563,552.2829771,0.860916615,918.6490963,1524.269606,0.884335637
181,215.1420192,545.1326905,0.367871642,919.0312866,1076.627678,0.735441744,214.964261,568.1779351,0.246799946,213.6677543,541.7470827,0.248985499
182,1014.228827,570.6301203,0.668375909,917.2416247,1077.170596,0.739454985,221.7132673,552.4307175,0.853424072,918.6174855,1524.246147,0.884571195
183,1014.228832,570.4417853,0.680142879,916.4698061,1077.523752,0.706520915,221.7203937,552.481112,0.853722215,918.8044996,1524.098024,0.880324125
184,215.0868853,545.1837184,0.364739329,919.3062605,1076.820395,0.714612126,214.9829563,568.1973383,0.247310817,213.5967346,541.7737427,0.251268923
